Search Link,Date collected,company_name,city,company_address,company_category
http://www.yellowpages.com/new-york-ny/mip/chez-josephine-3030157,2020-06-14,Chez Josephine,New York,"414 W 42nd St Frnt A, New York, NY 10036",French Restaurants
http://www.yellowpages.com/new-york-ny/mip/lallegria-italian-restaurant-464873216?geo_location_terms=&lid=464873216&search_terms=,2020-06-14,L'allegria Italian Restaurant,New York,"623 9th Ave, New York, NY 10036",Italian Restaurants
http://www.yellowpages.com/new-york-ny/mip/dukes-461824446,2020-06-14,Duke's,New York,"560 3rd Ave, New York, NY 10016",American Restaurants
http://www.yellowpages.com/new-york-ny/mip/cafe-amores-14th-st-9015952,2020-06-14,Cafe Amore's - 14th St.,New York,"104 E 14th St, New York, NY 10003",Pizza
http://www.yellowpages.com/new-york-ny/mip/quantum-leap-natural-foods-restaurant-3123588,2020-06-14,Quantum Leap Natural Foods Restaurant,New York,"2031 W 77th St, New York, NY 10024",Family Style Restaurants
http://www.yellowpages.com/new-york-ny/mip/les-enfants-terribles-7532427,2020-06-14,Les Enfants Terribles,New York,"37 Canal St, New York, NY 10002",Breakfast Restaurants
http://www.yellowpages.com/new-york-ny/mip/daniel-458902200?geo_location_terms=&lid=458902200&search_terms=,2020-06-14,Daniel,New York,"60 E 65th St, New York, NY 10065",French Restaurants
http://www.yellowpages.com/new-york-ny/mip/indian-road-cafe-5467531,2020-06-14,Indian Road Cafe,New York,"600 W 218th St, New York, NY 10034",Indian Restaurants
http://www.yellowpages.com/new-york-ny/mip/en-japanese-brasserie-11487346?geo_location_terms=&lid=11487346&search_terms=,2020-06-14,EN Japanese Brasserie,New York,"435 Hudson St, New York, NY 10014",Japanese Restaurants
http://www.yellowpages.com/new-york-ny/mip/t-g-i-fridays-15963010,2020-06-14,T.G.I. Friday's,New York,"47 E 42nd St, New York, NY 10017",American Restaurants
http://www.yellowpages.com/new-york-ny/mip/johnnys-pizza-pasta-14881607,2020-06-14,Johnny's Pizza Pasta,New York,"345 E 12th St, New York, NY 10003",Pizza
http://www.yellowpages.com/new-york-ny/mip/isola-trattoria-crudo-bar-473509445?geo_location_terms=&lid=473509445&search_terms=,2020-06-14,Isola Trattoria & Crudo Bar,New York,"9 Crosby St, New York, NY 10013",Italian Restaurants
http://www.yellowpages.com/new-york-ny/mip/kambi-ramen-house-19704024,2020-06-14,Kambi Ramen House,New York,"351 E 14th St, New York, NY 10003",Asian Restaurants
http://www.yellowpages.com/new-york-ny/mip/smac-459052000,2020-06-14,S'mac,New York,"197 1st Ave, New York, NY 10003",American Restaurants
http://www.yellowpages.com/new-york-ny/mip/strip-house-474172167?geo_location_terms=&lid=474172167&search_terms=,2020-06-14,Strip House,New York,"15 W 44th St, New York, NY 10036",Steak Houses
http://www.yellowpages.com/new-york-ny/mip/corner-bistro-5645173?geo_location_terms=&lid=5645173&search_terms=,2020-06-14,Corner Bistro,New York,"331 W 4th St, New York, NY 10014",American Restaurants
http://www.yellowpages.com/new-york-ny/mip/el-presidente-restaurant-5220578?geo_location_terms=&lid=5220578&search_terms=,2020-06-14,El Presidente Restaurant,New York,"3938 Broadway, New York, NY 10032",Latin American Restaurants
http://www.yellowpages.com/new-york-ny/mip/rafele-470800598?geo_location_terms=&lid=470800598&search_terms=,2020-06-14,Rafele,New York,"29 7th Ave S, New York, NY 10014",Italian Restaurants
http://www.yellowpages.com/new-york-ny/mip/la-terraza-restaurant-469913369,2020-06-14,La Terraza Restaurant,New York,"3881 Broadway, New York, NY 10032",Family Style Restaurants
http://www.yellowpages.com/new-york-ny/mip/houlihans-467641016,2020-06-14,Houlihan's,New York,"729 7th Ave, New York, NY 10019",American Restaurants
http://www.yellowpages.com/new-york-ny/mip/casa-nonna-465516360?geo_location_terms=&lid=465516360&search_terms=,2020-06-14,Casa Nonna,New York,"310 W 38th St, New York, NY 10018",Italian Restaurants
http://www.yellowpages.com/new-york-ny/mip/triomphe-461823372,2020-06-14,Triomphe,New York,"49 W 44th St, New York, NY 10036",French Restaurants
http://www.yellowpages.com/new-york-ny/mip/agave-462981219?geo_location_terms=&lid=462981219&search_terms=,2020-06-14,Agave,New York,"140 7th Ave S, New York, NY 10014",Latin American Restaurants
http://www.yellowpages.com/new-york-ny/mip/madison-restaurant-6541218,2020-06-14,Madison Restaurant,New York,"965 1st Ave, New York, NY 10022",American Restaurants
http://www.yellowpages.com/new-york-ny/mip/db-bistro-moderne-6402371?geo_location_terms=&lid=6402371&search_terms=,2020-06-14,db Bistro moderne,New York,"55 W 44th St, New York, NY 10036",French Restaurants
http://www.yellowpages.com/new-york-ny/mip/antique-garage-7328700,2020-06-14,Antique Garage,New York,"41 Mercer St, New York, NY 10013",Mediterranean Restaurants
http://www.yellowpages.com/new-york-ny/mip/bodrum-mediterranean-restaurant-142751?geo_location_terms=&lid=142751&search_terms=,2020-06-14,Bodrum Mediterranean Restaurant,New York,"584 Amsterdam Ave, New York, NY 10024",Mediterranean Restaurants
http://www.yellowpages.com/new-york-ny/mip/potjanee-thai-restaurant-of-new-york-475254262?geo_location_terms=&lid=1001874845727&search_terms=,2020-06-14,Potjanee Thai Restaurant of New York,New York,"48 Carmine St, New York, NY 10014",Thai Restaurants
http://www.yellowpages.com/new-york-ny/mip/palma-10189102?geo_location_terms=&lid=10189102&search_terms=,2020-06-14,Palma,New York,"28 Cornelia St, New York, NY 10014",Mediterranean Restaurants
http://www.yellowpages.com/new-york-ny/mip/cacio-e-vino-16560690?geo_location_terms=&lid=16560690&search_terms=,2020-06-14,Cacio E Vino,New York,"80 2nd Ave, New York, NY 10003",Mediterranean Restaurants
http://www.yellowpages.com/new-york-ny/mip/african-american-best-foods-6978317,2020-06-14,African American Best Foods,New York,"410 Malcolm X Blvd Frnt 1, New York, NY 10037",African Restaurants
http://www.yellowpages.com/new-york-ny/mip/da-noi-midtown-manhattan-533587405?lid=1001682503857,2020-06-14,Da Noi Midtown Manhattan,New York,"214 E 49th St, New York, NY 10017",Seafood Restaurants
